Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year
Catena Malbec 2017 Mendoza,Argentina,Red,Big ,Malbec,FULL,"Nicolás and Laura Catena have worked tirelessly in the discovery, identification and development of key microclimates in the high altitude wine country of Mendoza. Their Malbec uses this work and combines grapes from various altitudes to create a unique profile of aromas. Elegantly structured, and showing ripe blackberry and blackcurrant fruit flavours and plenty of peppery spice. The finish has distinct chocolate notes and crisp, refreshing acidity. The complex character, tannins and acidity help suit this wine to further ageing and it will comfortably last five years.",13.99,"IWC 2018 - Bronze Award, Decanter 2017 - Silver Award",13.5,75.0,20,2017
Rioja Blanco 2018 López de Haro,Spain,White,Rich ,Rioja,DRY,"Old vines craft the most flavourful grapes, and Lopez de Haro's are up to 80 years old. After a vigorous selection process, only the finest berries are squeezed. The juice is aged in oak for a generous three months. The result's brimming with ripe yellow fruits and a dusting with almonds.",9.99,IWC 2018 - Commended Award,12.5,75.0,21,2018
Rioja Crianza 2016 CVNE,Spain,Red,Smooth ,Rioja,MEDIUM,"Founded in 1879 by two brothers, Eusebio and Raimundo Real de Asúa, CVNE has remained in family hands, now in their fifth generation. CVNE has long been an innovator, embracing estate bottling and the extensive use of stainless steel. A lively cherry-red appearance leading to a nose of light summer fruits. This wine has undergone a period of one year in oak giving beautiful hints of vanilla amongst fruity cherry notes. A real treat, with a long and elegant finish. Partner with dry cured ham or roasted stuffed peppers.",9.99,IWC 2018 - Bronze Award,14.0,75.0,22,2016
"Rioja Reserva 2015, Dehesa de Lantana",Spain,Red,Smooth ,Rioja,MEDIUM,"Reservas are only made in the best vintages and a greater ageing period make them the perfect balance between rich Fruit and toasty oak. The Lantana is taken from a vintage officially rated as ""Very Good' by The Denominación de Origen Calificada Rioja. The result is a Reserva that shows notes of oak, smoke and ripe black fruit with leather hints.",9.99,,14.0,75.0,23,2015
"Rioja Crianza 2016, Dehesa de Lantana",Spain,Red,Smooth ,Rioja,LIGHT,"Just a short period in oak means this Crianza's all about the fruit. Aromas of raspberry, blueberry and oak meet mild hints of spice and toast. It's an elegant, full-bodied red with a luxuriously long finish.",8.99,,14.0,75.0,24,2016
Rioja Reserva Marqués de Riscal 2015,Spain,Red,Smooth ,Rioja,FULL,"Marqués de Riscal is one of Rioja's oldest wineries. It's only with almost two centuries of experience that you can craft a summer-fruit-and-vanilla-packed red this delectable. It's the silky, elegant and jammy red to bring comfort to your table with each sip.",16.99,,14.0,75.0,27,2015
The Ned Waihopai River Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"It's our best-ever-selling white for good reason. Award-winning winemaker Brent Marris' vines thrive in Marlborough's stony soils. This Sauvignon nirvana creates a clean, mineral style, and you'll struggle to beat it for lip-smacking refreshment. Alive with notes of gooseberry, fresh-cut grass and nettle, the Ned is Kiwi Sauvignon at its best.",10.99,"IWC 2019 - Commended Award, IWC 2018 - Bronze Award, Decanter 2018 - Silver Award",13.0,75.0,29,2018
Grand Ardèche Chardonnay 2017 Louis Latour,France,White,Rich ,Chardonnay,DRY,"Louis Latour is a Burgundian king. Its cabinet is bursting with awards. But it also makes fantastic value whites outside the region. You just need to head slightly north the Rhône to the Ardèche Valley to save a packet. This is packed with ripe apple, peach and buttery vanilla notes. It's Beaune-style quality at a fraction of the usual asking fee.",13.99,,13.5,75.0,30,2017
Oyster Bay Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Oyster Bay is largely responsible for the Kiwi Sauvignon boom. Its very first vintage won 'Best Sauvignon Blanc' at the London Wine & Spirit Competition. So it's little wonder that its quintessential notes of gooseberry, tropical fruit and herbs have seen it fill Majestic customers' baskets time and again for years.",10.49,"IWC 2019 - Commended Award, IWC 2018 - Bronze Award, IWC 2017 - Commended Award",12.5,75.0,31,2018
Montagny 1er Cru 'Les Millières' 2018 Cave des Vignerons de Buxy,France,White,Crisp ,Chardonnay,DRY,"A Premier Cru from the Montagny appellation in Burgundy's Côte Chalonnaise. Cave des Vignerons de Buxy is an excellent, quality-conscious producer and, being a co-operative, offers excellent value for money. A delicious, fresh Chardonnay which has been fermented and matured in stainless steel tanks to preserve the pure peach, pear and acacia aromas. Soft and rich on the palate. Enjoy with cold cuts of ham, this is a genuine bargain not to be missed.",13.99,,13.5,75.0,36,2018
Mollydooker The Boxer Shiraz 2017 South Australia,Australia,Red,Big ,Shiraz,FULL,"The Boxer Shiraz is perhaps the lightest and most accessible of Mollydooker's reds, although by any other standards it is still a hugely full-bodied and voluptuous wine. Made from the fruit of Mollydooker's own vineyards, aged in a mixture of new and old American oak, this wine offers a swathe of lush, velvety berry fruit, and layer upon layer of sweet spice, vanilla and dense, polished tannins.",28.0,,16.0,75.0,38,2017
Mâcon-Lugny 2017 Louis Latour,France,White,Crisp ,Chardonnay,DRY,"The family-run négociant house of Maison Louis Latour has been producing and selling wines since 1797. The limestone-rich soils of the Lugny village produce rich, buttery yet still Burgundian styles of Chardonnay with the typicity and style of the Mâcon. Pale gold in colour, with a beguiling aroma of fresh apples, lemon curd and toasted citrus fruits atop a palate of fresh and crisp green-apple acidity, buttery and peachy fruit and a long, warming finish. Perfectly acceptable on its own as an afternoon apéritif or with poultry, pork or fresh seafood.",13.99,,13.0,75.0,39,2017
"Villa Maria Private Bin Sauvignon Blanc 2018/19, Marlborough",New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Wine advocate's Joe Czerwinski said: ""Villa Maria is undoubtedly one of New Zealand's great success stories"". Its excellence shines in notes of gooseberry, nectarine, pineapple and grapefruit. It's one of our best-rated Sauvignons going for good reason.",10.99,"IWC 2018 - Commended Award, IWC 2017 - Bronze Award",13.0,75.0,44,2018
Making Tracks Shiraz 2018,Australia,Red,Big ,Shiraz,MEDIUM,"There's no better way to start your Aussie expedition than with Shiraz, the jumbo grape that's taken on its own mammoth identity in Australia. 'Syrah' may have originated in the Rhone Valley, but this is unmistakably Australian. Big, bold and pounding with blackberry tangs- it's your splendid suitor for red meats and cheese. A rich, well balanced example of the Aussie classic. Lush black fruits coupled with touches of woodspice, liquorice and cassis follow through to a rich velvety finish. The perfect wine to take to a barbecue, best enjoyed with grilled burgers and sausages.",9.99,,14.5,75.0,45,2018
Caixas Albariño 2017/18 Rías Baixas,Spain,White,Crisp ,Albariño,DRY,"Robert Parker's Wine Advocate branded Martin Codax ""ambassador"" of Rías Baixas, the Cornwall of Spain. And it knows a thing or two about crafting citrus-packed, sea-salt licked Albariño. Look no further for a first-class example of the refreshing wine style.",10.99,,13.0,75.0,46,2017
Silver Ghost Sauvignon Blanc 2019 Central Valley,Chile,White,Fruity ,Sauvignon Blanc,DRY,The unbeatable value of Chilean Sauvignon makes it one of the world's most popular. This zippy apple-and-lime-boasting white is a prime example. It's your summer's afternoon refresher.,6.49,IWC 2019 - Commended Award,12.0,75.0,50,2019
Olivier Dubois Cuvee Prestige Pinot Noir 2017 VdF,France,Red,Fruity ,Pinot Noir,MEDIUM,"Don't be fooled by this low cost. This is squeezed from only the ripest fruit. It's then fermented in oak to make it all the more soothing. This Pinot Noir echoes Loire's finest appellations with an approachable, fruit-driven style.",8.99,,12.5,75.0,52,2017
Definition Marlborough Sauvignon Blanc 2018,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,The Definition range captures the quintessential qualities of the world's greatest wine styles. Marlborough Sauvignon Blanc is Britain's favourite white wine. So finding this wasn't easy. It needed to be chock-full with layers of gooseberry. It had to boast punchy hints of passion fruit. That whiff of fresh-cut grass was imperative. You'll find it all in your glass.,10.99,,13.0,75.0,53,2018
"Marcelo Pelleriti Malbec 2018 Valle De Uco, Mendoza",Argentina,Red,Big ,Malbec,FULL,Marcelo Pelleriti is the first ever South American producer to score a perfect 100 Parker Point score. His clarets have scored higher than the priciest châteaux of Bordeaux. He's returned to Mendoza to craft this black-fruit-packed Malbec exclusively for Majestic customers. And this time he's proud enough to put his own name on it!,12.99,IWC 2019 - Silver Award,14.0,75.0,54,2018
Rioja Reserva Viña Ardanza 2009 La Rioja Alta,Spain,Red,Smooth ,Rioja,FULL,"Year in, year out Viña Ardanza scoops 90+ point scores from the biggest critics. La Rioja Alta, one of the region's top wineries, plucks every single grape by hand. This juice sees a luxurious 36 months in oak. These tricks bring an abundance of complexity to your glass. You're in for oodles of sweet cherry, blackcurrant and vanilla flavours.",26.99,"IWC 2017 - Bronze Award, Decanter 2017 - Silver Award",13.5,75.0,56,2009
The King's Legacy Chardonnay 2017 Marlborough,New Zealand,White,Rich ,Chardonnay,DRY,"This Chardonnay is sourced from two vineyards, one a mature plot in the centre of the Wairau Valley, the other a plot of younger vines in Brancott Valley. The grapes were fermented in large French oak casks using predominantly wild yeasts and allowed 10 months' on lees. An easily enjoyable Chardonnay that combines fresh apple, nectarine and tangerine flavours with subtle creaminess, hints of toasted almonds and a gently spicy complexity. Try this with seared scallops served with black pudding.",15.99,,13.5,75.0,58,2017
Last Batch Malbec,,Red,Smooth ,Malbec,MEDIUM,"You're a Malbec fan. So, you've almost definitely tried it from Mendoza. San Juan is the neighbouring region. Almost entirely in the Andean foothills, it boasts a cool climate, drop in night-time temperature, cooling 'Zonda' winds, and high altitude (this family-owned winery is 563 metres above sea level). This is the perfect sum for first-class Malbec.The winery picks and sorts every grape, nourished by fifteen-year-old vines, by hand. Only the best are squeezed, and the juice is treated to fermentation in luxury oak barrels. As you can imagine, this is a catalogue of expensive practices.",9.99,,13.5,75.0,60,Unknown
Rioja Reserva 2014 Beronia,Spain,Red,Smooth ,Rioja,MEDIUM,"In Northern Spain there is a long standing tradition of gastronomic societies, known in the region as Txoko , where locals meet friends to cook and share their passion for fine food and drink. In the 1970s one such group of friends formed a Txoko in the small town of Ollauri in Rioja Alta. Believing that no local wine could match the quality of their cooking, they decided to make their own...a wine worthy of partnering their culinary achievements! The result was multi award-winning Rioja winery; Bodegas Beronia. Deep ruby-maroon in colour, with plenty of density. The complex nose is dominated by cinnamon and clove notes, with hints of toasted bread. Plenty of warm fruit, sweet tannins, and a velvet texture. Drink with tapas of hard cheeses, Iberico ham, or embuchados.",17.99,,14.0,75.0,62,2014
Abbotts & Delaunay Viognier 2018,France,White,Fruity ,Viognier,DRY,"This Languedoc white delights with stone-fruit flavours and a dusting of spice. It's no surprise that this made it into 'Top Wines of 2018', flying the flag as the only Viognier.",9.99,IWC 2017 - Silver Award,13.0,75.0,63,2018
"Domaine Sainte Rose 'Le Pinacle Syrah' 2017, Côtes de Thongue",France,Red,Fruity ,Syrah,FULL,"Made in the Côte-Rôtie style, this alluring red from the innovative Ruth and Charles Simpson is really special. A 'true' Rhône Côte-Rôtie rarely falls below £40, so this Syrah and Viognier blend is really special. Like its famous rival, you'll find intense plum and liquorice aromas alongside pronounced black fruit, coffee and bitter chocolate flavours.",14.99,,14.5,75.0,64,2017
Pinot Noir Domaine de Valmoissine 2016 Louis Latour,France,Red,Fruity ,Pinot Noir,MEDIUM,"The conditions of Var, Southern France, are ideal for the difficult Pinot Noir grape. It's at a similar altitude to the finest Grand Crus, but because it's under the radar, you can pick this smooth, textured red, boasting elegant notes of ripe cherry, strawberry and vanilla, up at a steal.",13.99,IWC 2018 - Commended Award,13.5,75.0,65,2016
Devil's Creek Marlborough Sauvignon Blanc 2018,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Foley Family Wines, the winery behind Devil's Creek, has scooped Decanter's coveted Platinum medal for its customer-favourite Russian Jack Sauvignon Blanc. Zippy, aromatic and bursting with gooseberry and passion fruit, this hits the same dizzy heights, boasting all the best of Marlborough and then some.",9.99,"IWC 2019 - Bronze Award, IWC 2018 - Bronze Award, Decanter 2018 - Bronze Award",13.0,75.0,66,2018
Definition Rioja Reserva 2013,Spain,Red,Smooth ,Rioja,FULL,"The Definition range captures the quintessential qualities of the world's greatest wine styles. It's only through delicate ageing that you'll taste Spain's most complex, rewarding flavours. From some of the best vines in Rioja, this Reserva's jam-packed with plenty of those.",13.99,,13.5,75.0,67,2013
Finca Carelio Tempranillo 2015 Vino de la Tierra,Spain,Red,Smooth ,Tempranillo,FULL,"Ribera wine commands some of the heftiest prices in Spain. Finca Carelio was initially classified as Ribera del Duero DO wine priced at £15. But we added Castilian grapes to pump up the juiciness. This meant it lost its Ribera label. But it saves you a wad. You'll love its complex layers of blackberry, leather and vanilla.",9.99,,14.5,75.0,69,2015
Rioja Reserva 2015 CVNE,Spain,Red,Smooth ,Rioja,FULL,"CVNE is a family-owned winery in the heart of Rioja. Its Reserva spends a huge eighteen months in oak. This softens tannins and imparts a delicate slather of vanilla to a fruit-driven bouquet of decadent autumn fruits, caramel and coffee.",13.99,,14.0,75.0,71,2015
Albariño Martín Códax 2017/18 Rías Baixas,Spain,White,Crisp ,Albariño,DRY,"You can thank Rías Baixas' kissing sea spray for this Albariño's refreshing style. It's only there, in the 'Cornwall of Spain', that you'll find such a wine. Light, delicate and bursting with stone-fruit aromas, it's the white ideal for a lazy Sunday afternoon.",13.49,"IWC 2019 - Silver Award, Decanter 2019 - Bronze Award, IWC 2018 - Bronze Award",13.0,75.0,72,2017
Château Caronne Ste-Gemme 2014 Haut-Médoc,France,Red,Big ,"Cabernet Sauvignon, Merlot",FULL,"Château Caronne Sainte-Gemme neighbours £50+-a-bottle-demanding Châteaux. It shares many of the same impeccable winemaking conditions. But because it's still under the radar, you can save a packet. It boasts everything you'd expect of the finest claret.",16.99,,13.0,75.0,73,2014
Penfolds Bin 28 Kalimna Shiraz 2016 South Australia,Australia,Red,Big ,Shiraz,FULL,"Bin 28 offers a showcase of warm-climate Australian Shiraz - ripe, robust and generously flavoured. First made in 1959, Bin 28 is named after the famous Barossa Valley Kalimna Vineyard purchased by Penfolds in 1945 and from which the wine was originally sourced. Today, Bin 28 is a multi-region, multi-vineyard blend, with the Barossa Valley always well represented. Drink now - 2025.",33.0,,14.5,75.0,74,2016
Valle Antigua Merlot 2017,Chile,Red,Big ,Merlot,FULL,This bang for your buck red's the result of grapes bathing in the splendid Chilean sun. Don't be fooled by the low price tag. It'll deliver buckets of plummy flavour time and again. A touch of oak influences lifts this red with an alluring vanilla hint.,7.99,IWC 2019 - Commended Award,12.5,75.0,75,2017
Kangarilla Road Shiraz 2017/18 McLaren Vale,Australia,Red,Big ,Shiraz,FULL,"Packed with black fruits, dark chocolate and a creamy texture, this Shiraz shows exactly why the Kangarilla Road winery was given the top 'Five Red Star' rating by Australia's leading wine critic, James Halliday.",13.99,,14.5,75.0,77,2017
Châteauneuf-du-Pape Prestige Des Princes 2016,France,Red,Smooth ,"Syrah, Grenache",FULL,"Prestige Des Princes is brimming with fresh red and black fruits, a dusting of herbs and a kick of sweetly-spiced pepper. It's proof that you don't need to remortgage to get top-shelf Châteauneuf-du-Pape.",24.99,IWC 2017 - Silver Award,15.5,75.0,79,2016
Russian Jack Sauvignon Blanc 2017 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"This wine is made by Martinborough Vineyards, who have branched out from their home in New Zealand's North Island, sourcing their Sauvignon grapes from certified sustainable vineyards across the water in Marlborough's Wairau Valley. Typically intense and concentrated, offering a backbone of gooseberry and passion fruit flavours supported by aromas of lime blossom and elderflower. Incisive citrus acidity provides a clean finish. Drink with spicy oriental salads.",11.99,"IWC 2018 - Bronze Award, IWC 2017 - Commended Award, Decanter 2017 - Commended Award",12.5,75.0,81,2017
Chateau Tour Bayard Montagne 2015,France,Red,Smooth ,"Merlot, Cabernet Franc",FULL,"This meticulously managed property has be owned by the Nicoletti since 1956. Hand picking and sorting of the grapes is the norm and the intention is to always make the best quality wine that speaks of its fine terroir. This is a smooth and powerful wine with big flavours of blackcurrant, liquorice and sweet spices. It is drinking beautifully now but could equally be aged for another 5 years. Try this with a rare roast joint of beef.",15.99,Decanter 2018 - Bronze Award,14.5,75.0,82,2015
"Villa Maria 'Taylor's Pass' Sauvignon Blanc 2018, Marlborough",New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Taylor's Pass was the only Sauvignon Blanc to win 'Best in Show' at 2019's Decanter World Wine Awards. You'll taste why in masterfully integrated notes of grapefruit, lime zest, blackcurrant and fresh-cut grass. It's a first-class Kiwi Sauvignon.",15.99,,13.5,75.0,83,2018
Tenacity Old Vine Shiraz 2018,Australia,Red,Big ,Shiraz,FULL,"Full of robust and concentrated blackcurrant flavours this is a fabulous example of Australian Shiraz from old vines.Rich, smooth and completely in balance we have a limited number of these stunning bottles available so snap them up while you can.",14.99,,14.0,75.0,84,2018
Cloudy Bay Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Cloudy Bay crafts one of the world's most prestigious Sauvignons. It's bagged 90+ Parker Point scores year in, year out. You'll taste just why in complex layers of guava, gooseberry, tropical fruits and a dusting of fresh herbs.",25.99,,13.0,75.0,85,2018
Incanta Pinot Noir 2018,Romania,Red,Fruity ,Pinot Noir,MEDIUM,"Love Pinot Noir but not the lofty sum it usually demands? Head off the beaten track to discover juicy notes of redcurrant, raspberry and jam. It would cost at least twice the price if Romania wasn't still under the radar.",7.99,,12.5,75.0,88,2018
Ch St Michelle Cabernet Sauvignon 2016,,Red,Big ,Cabernet Sauvignon,MEDIUM,This Cabernet from Washington's oldest winery is packed with ripe blackcurrant and blackberry flavours. Notes of cedar and vanilla follow on to a silky smooth finish that lingers on the palate. Notes of cedar and vanilla follow on to the silky smooth finish that lingers on the palate with the black currant and plum. The most perfect suitor: Prosciutto wrapped stuffed dates with blue cheese. A must.,15.99,,13.5,75.0,89,2016
Viñalba Reserve Malbec 2017 Mendoza,Argentina,Red,Big ,Malbec,FULL,"This is made by the first person ever to bottle pure Malbec in Argentina. You'll taste his expertise in decadent notes of dark fruit, cocoa and lip-smacking melted tannins. It's a unique expression of Mendoza's finest spot, Uco Valley.",12.99,"IWC 2019 - Silver Award, Decanter 2019 - Bronze Award, IWC 2018 - Bronze Award, Decanter 2018 - Silver Award",14.5,75.0,90,2017
Alamos Uco Valley Malbec 2018,Argentina,Red,Big ,Malbec,FULL,"The grapes for Alamos are grown at an altitude of between 3,000 and 5,000 feet where the temperature variation allows the grapes to grow slowly developing more flavour. Hand harvesting and sorting ensure only the best grapes are used to make the wine. This wine is all about bright red and black berry fruits. It is soft and harmonious with just a touch of spice on the smooth finish. A great match for a rare steak or grilled sausages.",9.99,,13.5,75.0,93,2018
Fleurie 2018 Georges Duboeuf,France,Red,Fruity ,Gamay,MEDIUM,"The finest Gamay is supple with soft tannins and a lip-smacking minerality. You'll find it at its best in Fleurie, the most sought after cru in Beajoulais. Georges Duboeuf was nicknamed 'King of Beaujolais'. He's the man behind this bottle. It really is top-shelf Gamay. It's red-fruit-soaked excellence.",12.99,,13.0,75.0,94,2018
Silver Ghost Cabernet Sauvignon 2016 Central Valley,Chile,Red,Big ,Cabernet Sauvignon,MEDIUM,Chile's where you'll find unbeatable bang for your buck. You can slash the asking price of other New World Cabernets in two by heading there. An abundance of juicy red fruits and tangy blackcurrants will soak your palate.,6.49,,12.0,75.0,96,2016
"Copper Kingdom Barossa Shiraz, 2017",Australia,Red,Smooth ,Shiraz,MEDIUM,"Full bodied, jammy and fruity. It's an intense, powerful explosion of blackcurrants, blackberries. Pair with autumn's heartiest meals to test your next steak's mettle.",14.99,,14.5,75.0,98,2017
Definition Marlborough Pinot Noir 2017,New Zealand,Red,Fruity ,Pinot Noir,MEDIUM,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Marlborough is the hub of New World Pinot. The best rivals red Burgundy at a fraction of the asking price. Silky, juicy and full of elegant notes of raspberry, dark cherry and snappy acidity, this hits the nail on the head.",15.99,"IWC 2019 - Commended Award, IWC 2018 - Silver Award, IWC 2017 - Bronze Award, Decanter 2017 - Bronze Award",13.5,75.0,99,2017
Pinot Grigio Rosato 2018 Delle Venezie,Italy,Rose,,Pinot Grigio,DRY,"Sheltered by the shadows of the Alps, the grapes squeezed to craft this grow plump over a deliciously long ripening period. When we first tasted this rosé's delicate layers of raspberry and white flowers, we bought the lot to secure you a bargain.",8.99,IWC 2019 - Commended Award,12.5,75.0,100,2018
La Belle Angele Sauvignon Blanc 2017/18,France,White,Fruity ,Sauvignon Blanc,DRY,"This is proof that tearing up the region-based rule book saves you a packet. Bursting with aromas of crisp apple and gooseberry, you'd be forgiven for being convinced that it demands a much higher sum.",8.99,,12.0,75.0,102,2017
Mud House Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Mud House Wines was started in 1996, and is a producer focused on sustainable viticulture. Just over half the fruit for this wine is sourced from their own Woolshed vineyard in the Upper Wairau Valley, with the remainder sourced from partner growers. Pale straw yellow, with perfumed aromas of fresh grapefruit, guava and hints of nettles. Crisp, concentrated and vibrant on the palate, combining citrus and tropical fruit with green vegetal undertones. Chill well and enjoy on its own or with light summery rice or pasta dishes.",9.49,IWC 2017 - Commended Award,12.5,75.0,104,2018
"The Ned Pinot Noir 2017 Southern Valleys, Marlborough",New Zealand,Red,Fruity ,Pinot Noir,MEDIUM,"Pinot Noir's the king of Kiwi reds, so even the best winemakers feel the pressure when they turn it into wine. Luckily, Brent Marris, the man behind The Ned, is a seasoned expert. Plucked from the best spots in Marlborough and boasting elegant notes of red berries and vanilla, his Pinot is truly phenomenal.",14.99,"IWC 2019 - Bronze Award, IWC 2018 - Silver Award",13.5,75.0,105,2017
Valle Antigua Sauvignon Blanc 2019,Chile,White,Fruity ,Sauvignon Blanc,DRY,"The Colchagua Valley is a paradise for growing grapes with a Mediterranean climate and a large difference between daytime and night time temperatures allows the grapes to ripen slowly developing intense flavours and aromas. This is a bright, fresh and fruity wine with citrus and green apple flavours in abundance. Additional complexity and richness is added by a period of less ageing. Enjoy this with spicy prawn dishes.",7.99,,12.5,75.0,106,2019
Ravenswood Lodi Zinfandel 2017,USA,Red,Big ,Zinfandel,FULL,"Surviving prohibition by a legal loophole, Lodi boasts some of America's most ancient Zinfandel vines. Old vines craft the juiciest grapes. So it's no surprise that this pumps with black-fruit flavour. If you like a full-bodied red with gallons of taste, you'll love this.",14.99,,14.5,75.0,107,2017
Definition Chardonnay 2018,France,White,Rich ,Chardonnay,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. French Chardonnay makes a credible claim as the world's best. You can easily find some that demand a remortgage. For this, we went to a winemaker who won 500 medals in just five years. He's hit the nail on the head with this oaked white that's brimming with apple, brioche and peach. Sip this and you'll be convinced it's white Burgundy.",11.99,,13.5,75.0,109,2018
"The Chocolate Block 2017 Boekenhoutskloof, Western Cape",South Africa,Red,Big ,"Viognier, Cabernet Sauvignon, Syrah, Grenache, Cinsault",FULL,"Chocolate Block is our best-ever-selling fine wine. It's unique with every vintage. Only the finest grapes are picked, and the blend's tweaked every year to reflect the very best of the growing season. You're in for a complex bouquet of blackcurrants, raspberries and a slick lick of mocha.",25.0,,14.5,75.0,111,2017
